# Conflict Data Audit Report
For each flight, all conflicts it is involved in are listed.
Columns: Source | Flight | Aircraft Type | Departure Time | Time (UTC) | Lat | Lon | Alt | Altitude Diff | Distance
Note: Departure Time column shows scheduled departure times to verify scheduling algorithm accuracy.

## Flight: FLT0001
### Conflict with FLT0018 (Conflict 1)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0015      | EC35         | 1400           | 3            | -34.84514  | 150.54839  |    5542 |            352 | 0.43      |
| interpolated_points      | FLT0015      | EC35         | 1400           | 1405         | -34.84514  | 150.54839  |    5542 |              0 | N/A       |
| animation_data           | FLT0015      | EC35         | 1400           | 1405         | -34.84514  | 150.54839  |    5542 |              0 | N/A       |

## Flight: FLT0016
### Conflict with FLT0015 (Conflict 19)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0016      | A332         | 1503           | 3            | -34.85220  | 150.54706  |    5190 |            352 | 0.43      |
| interpolated_points      | FLT0016      | A332         | 1503           | 1505         | -34.85220  | 150.54706  |    5190 |              0 | N/A       |
| animation_data           | FLT0016      | A332         | 1503           | 1505         | -34.85220  | 150.54706  |    5190 |              0 | N/A       |

### Conflict with FLT0018 (Conflict 20)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0016      | A332         | 1503           | 7            | -34.43183  | 150.62075  |   19177 |            823 | 2.69      |
| interpolated_points      | FLT0016      | A332         | 1503           | 1510         | -34.43183  | 150.62075  |   19177 |              0 | N/A       |
| animation_data           | FLT0016      | A332         | 1503           | 1510         | -34.43183  | 150.62075  |   19177 |              0 | N/A       |

### Conflict with FLT0019 (Conflict 21)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
